resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Full-stack developer with 7 years of experience building web applications for fintech and SaaS companies. Proficient in both frontend and backend development with a focus on clean, maintainable code. Skills: React, Node.js, TypeScript, PostgreSQL, Redis, Docker, AWS, REST APIs, GraphQL, Jest. Senior Developer, FinEdge (2020-present): Architected multi-tenant SaaS platform serving 50K users, improved API response time by 40%, mentored junior developers. Software Engineer, BuildSoft (2017-2020): Developed React-based dashboards and Node.js microservices, integrated third-party payment APIs. Education: B.Tech Computer Science, BITS Pilani.","Senior Full-Stack Engineer at a Series B fintech startup. Required skills: React, Node.js, TypeScript, PostgreSQL, Redis, AWS, REST APIs, Docker. Responsibilities: build and maintain web applications, optimize backend performance, collaborate with product and design teams, contribute to architecture decisions, write tests and documentation. Preferred: experience with GraphQL, prior fintech exposure.",0.93,high,high,81,50
"Data engineer with 5 years of experience designing and maintaining large-scale data pipelines in cloud environments. Strong background in ETL processes, data warehousing, and streaming architectures. Skills: Python, Apache Spark, Airflow, AWS Glue, Redshift, Snowflake, SQL, Kafka, dbt, Git. Data Engineer, Analytiq (2021-present): Built real-time ingestion pipelines processing 10M events/day, reduced pipeline failures by 45%, led migration to Snowflake. Junior Data Engineer, DataBridge (2019-2021): Developed ETL jobs and maintained data quality checks. Education: B.Tech Information Technology, VIT Vellore.","Data Engineer at a mid-size e-commerce company. Required skills: Python, Apache Spark, Airflow, SQL, Kafka, Snowflake or Redshift, dbt. Responsibilities: design and maintain data pipelines, ensure data quality, collaborate with analysts and data scientists, optimize query performance, document data models. Preferred: experience with AWS Glue, streaming data experience.",0.91,high,high,78,48
"Cybersecurity analyst with 6 years of experience in threat detection, incident response, and network security. Deep understanding of enterprise security frameworks and compliance requirements. Skills: SIEM, Splunk, Python, Network Security, Incident Response, Vulnerability Assessment, NIST, ISO 27001, Firewall Management, IDS/IPS. Security Analyst, SecureNet (2020-present): Reduced mean time to detect by 60%, built automated alerting rules in Splunk, led ISO 27001 audit preparation. Junior Analyst, CyberShield (2018-2020): Monitored network traffic and responded to incidents. Education: B.Tech Electronics, NSIT Delhi.","Senior Cybersecurity Analyst at a Fortune 500 financial services firm. Required skills: SIEM tools, Splunk, incident response, network security, vulnerability assessment, Python scripting, NIST framework. Responsibilities: monitor and respond to security events, conduct vulnerability assessments, develop detection rules, coordinate with IT teams, ensure compliance with regulatory standards. Preferred: ISO 27001 certification, experience in financial sector.",0.9,high,high,78,55
"Product manager with 8 years of experience in consumer mobile apps and growth-focused product development. Skilled at translating user research into actionable roadmaps. Skills: Product Strategy, Agile, User Research, A/B Testing, SQL, Analytics, Roadmapping, Stakeholder Management, Figma, JIRA. Product Lead, AppGrow (2019-present): Launched 3 major features growing DAU by 40%, ran 50+ A/B experiments, managed cross-functional team of 12. Product Manager, MobileFirst (2016-2019): Defined and shipped mobile app features across iOS and Android. Education: MBA, IIM Ahmedabad.","Senior Product Manager at a consumer tech startup focused on mobile. Required skills: product strategy, agile, A/B testing, analytics, user research, SQL, stakeholder management. Responsibilities: own product roadmap, prioritize features, run experiments, work closely with engineering and design, drive growth metrics. Preferred: experience with mobile apps, prior startup exposure.",0.92,high,high,77,49
"Marketing manager with 9 years of experience in B2C digital marketing for retail and lifestyle brands. Expert in performance marketing and brand strategy. Skills: Digital Marketing, SEO, SEM, Google Ads, Meta Ads, Email Marketing, CRM, Analytics, Content Strategy, Team Leadership. Marketing Manager, StyleBrand (2018-present): Scaled paid acquisition from $500K to $5M/year, reduced CAC by 30%, built and managed team of 6. Senior Executive, MediaBloom (2015-2018): Managed SEO and email campaigns. Education: MBA Marketing, XLRI Jamshedpur.","Marketing Manager at a D2C lifestyle brand. Required skills: digital marketing, SEO, SEM, Google Ads, Meta Ads, CRM, analytics, email marketing, team leadership. Responsibilities: own digital marketing strategy, manage paid and organic channels, lead a team of marketers, report on campaign performance, collaborate with brand and content teams. Preferred: D2C experience, familiarity with Klaviyo or HubSpot.",0.89,high,high,75,56
"HR business partner with 7 years of experience in talent management, organizational development, and HR policy. Strong in strategic HR and employee experience. Skills: HR Strategy, Talent Management, Performance Management, Payroll, HRMS, Employee Relations, L&D, Stakeholder Management, Compensation, Succession Planning. HRBP, TechCorp (2019-present): Reduced attrition by 20%, implemented performance review system, led diversity initiatives. HR Manager, GrowthIQ (2016-2019): Managed full HR operations for 300-person company. Education: MBA HR, TISS Mumbai.","HR Manager at a fast-growing SaaS company. Required skills: HR strategy, talent management, payroll, HRMS, performance management, employee relations, compensation planning. Responsibilities: manage HR operations, drive engagement programs, handle employee relations, ensure legal compliance, partner with leadership on people strategy. Preferred: experience in tech companies, exposure to HRBP roles.",0.88,high,high,70,49
"Business analyst with 6 years of experience in process improvement and requirements gathering for banking and insurance clients. Strong bridge between business and technology teams. Skills: Business Analysis, Requirements Gathering, SQL, Tableau, JIRA, Process Mapping, Stakeholder Management, Agile, UAT, Excel. Senior BA, FinConsult (2019-present): Led digital transformation project saving $2M annually, created 40+ BRDs, managed client stakeholders across 3 countries. BA, InsureTech (2017-2019): Documented workflows and assisted with system implementations. Education: B.Com, Symbiosis Pune.","Senior Business Analyst at a large insurance company. Required skills: business analysis, requirements gathering, SQL, process mapping, Agile, stakeholder management, Tableau, UAT. Responsibilities: gather and document requirements, conduct gap analyses, liaise with IT teams, create process maps, support UAT, present insights to senior leadership. Preferred: BFSI domain experience, CBAP certification.",0.91,high,high,74,50
"Sales manager with 10 years of experience in enterprise SaaS sales and account management. Consistent top performer with strong client relationship skills. Skills: Enterprise Sales, SaaS, CRM, Salesforce, Negotiation, Pipeline Management, Account Management, Team Leadership, B2B, Revenue Growth. Sales Manager, CloudSell (2017-present): Exceeded quota for 5 consecutive years, grew territory revenue by 70%, managed team of 8 AEs. Account Executive, SaaSGrow (2014-2017): Closed $4M in new business. Education: MBA Sales & Marketing, SP Jain Mumbai.","Enterprise Sales Manager at a B2B SaaS company. Required skills: enterprise sales, SaaS, Salesforce, pipeline management, negotiation, account management, team leadership, B2B. Responsibilities: lead and coach sales team, manage enterprise accounts, close complex deals, forecast revenue, collaborate with customer success. Preferred: HR tech or MarTech SaaS experience.",0.9,high,high,75,47
"Healthcare data analyst with 5 years of experience in clinical analytics and hospital operations reporting. Strong in turning complex health data into actionable insights. Skills: SQL, Python, Tableau, Power BI, Excel, Healthcare Analytics, HL7, EHR Systems, Statistics, Data Visualization. Analyst, MedAnalytics (2020-present): Built dashboards reducing reporting time by 60%, analyzed patient outcomes data for 3 hospital networks. Junior Analyst, HealthData (2019-2020): Supported reporting for clinical trials. Education: M.Sc Health Informatics, AIIMS Delhi.","Healthcare Data Analyst at a hospital network. Required skills: SQL, Python, Tableau, Power BI, healthcare analytics, EHR systems, statistics. Responsibilities: build operational dashboards, analyze clinical data, support quality improvement initiatives, work with clinical and IT teams, present findings to leadership. Preferred: HL7 or FHIR experience, hospital operations background.",0.88,high,high,72,48
"Finance manager with 9 years of experience in FP&A, financial modeling, and corporate finance for manufacturing firms. Deep expertise in budgeting and long-range planning. Skills: Financial Modeling, FP&A, Budgeting, Forecasting, Excel, SQL, Power BI, ERP Systems, GAAP, Variance Analysis. Finance Manager, ManufactureCo (2018-present): Built 5-year financial model adopted by board, reduced forecast error by 25%, managed $50M budget. Finance Analyst, IndustrialHoldings (2015-2018): Supported monthly close and variance reporting. Education: CA, ICAI.","Finance Manager at a mid-size manufacturing company. Required skills: financial modeling, FP&A, budgeting, forecasting, Excel, SQL, ERP systems, GAAP, variance analysis. Responsibilities: lead budgeting cycle, build forecasting models, present to C-suite, manage a team of analysts, partner with business units on financial planning. Preferred: Power BI experience, manufacturing sector background.",0.92,high,high,71,50
"Frontend developer with 3 years of experience building responsive web interfaces using React and Vue.js. Comfortable working with design teams and implementing pixel-perfect UIs. Skills: React, JavaScript, HTML, CSS, Vue.js, Git, REST APIs, Figma, Webpack, Jest. Developer, WebPixel (2022-present): Built UI components for SaaS dashboard used by 10K users, improved load performance by 30%. Junior Dev, DesignCode (2021-2022): Implemented designs in HTML/CSS and React. Education: B.Tech CS, Amity University.","Backend Engineer at a logistics startup. Required skills: Python, Django, PostgreSQL, Redis, Celery, AWS, microservices, Docker. Responsibilities: build RESTful APIs, design database schemas, optimize queries, maintain CI/CD pipelines, integrate third-party logistics APIs. Preferred: experience with async task queues, prior logistics or supply chain exposure.",0.42,medium,medium,69,44
"Data analyst with 4 years of experience in business intelligence and reporting for retail companies. Solid foundations in SQL and visualization tools. Skills: SQL, Tableau, Excel, Python, Power BI, Google Analytics, Data Cleaning, Reporting, Statistics, JIRA. Analyst, RetailMetrics (2021-present): Delivered weekly executive dashboards, automated 20 recurring reports saving 15 hours/week. Intern, InsightCo (2020-2021): Supported ad hoc data requests. Education: B.Sc Statistics, Delhi University.","Data Scientist at a growth-stage edtech company. Required skills: Python, machine learning, scikit-learn, feature engineering, A/B testing, SQL, statistical modeling. Responsibilities: build recommendation models, design and analyze experiments, develop churn prediction systems, collaborate with product team, communicate findings. Preferred: experience in edtech or subscription businesses.",0.52,medium,medium,63,45
"Digital marketing specialist with 3 years of experience in SEO, content marketing, and social media for B2B SaaS companies. Data-driven and analytical with a creative eye. Skills: SEO, Content Marketing, HubSpot, Google Analytics, Social Media, Copywriting, Email Marketing, LinkedIn Ads, Keyword Research, CMS. Specialist, SaaSMarket (2022-present): Grew organic traffic by 80% in 12 months, managed LinkedIn campaigns. Marketing Intern, GrowthLab (2021-2022): Created blog content and email sequences. Education: BBA Marketing, Christ University Bangalore.","Marketing Manager at a consumer D2C brand. Required skills: digital marketing, team leadership, Meta Ads, Google Ads, CRM, performance marketing, brand strategy, analytics. Responsibilities: lead marketing team, manage paid media budget, develop brand campaigns, drive customer acquisition, collaborate with creative team. Preferred: D2C or FMCG background, experience managing $1M+ ad budgets.",0.48,medium,medium,73,51
"IT support engineer with 4 years of experience in system administration and cloud infrastructure support. Familiar with AWS basics and Linux administration. Skills: Linux, AWS, Bash Scripting, Networking, Active Directory, Help Desk, Monitoring, Docker, Git, Windows Server. IT Engineer, CorpTech (2020-present): Managed 200-node infrastructure, automated patching with Bash scripts. Support Analyst, TechDesk (2019-2020): Handled L2 support tickets. Education: B.Tech IT, Manipal University.","Senior DevOps Engineer at a cloud-native SaaS company. Required skills: AWS, Kubernetes, Terraform, CI/CD pipelines, Docker, Prometheus, Grafana, Python, infrastructure as code. Responsibilities: design and manage cloud infrastructure, implement observability stack, automate deployments, ensure high availability, mentor junior engineers. Preferred: experience with GitOps, prior SRE background.",0.46,medium,medium,62,46
"Associate product manager with 2 years of experience working on mobile consumer apps. Good understanding of agile processes and user feedback loops. Skills: Product Management, Agile, JIRA, User Stories, SQL, Figma, User Research, Roadmapping, Analytics, Stakeholder Communication. APM, AppLaunch (2023-present): Shipped 2 app features improving retention by 10%, coordinated between design and engineering. Intern, ProductHouse (2022-2023): Conducted user interviews and created wireframes. Education: B.Tech CS, IIT Bombay.","Senior Product Manager at a B2B enterprise software company. Required skills: product strategy, stakeholder management, enterprise sales alignment, agile, SQL, analytics, roadmapping, OKRs. Responsibilities: own product vision for a $20M revenue product line, manage relationships with enterprise customers, define 3-year roadmap, lead team of 15. Preferred: 5+ years PM experience, B2B SaaS background.",0.55,medium,medium,67,53
"Chartered accountant with 5 years of experience in audit, taxation, and financial compliance. Thorough knowledge of Indian tax regulations and statutory requirements. Skills: Accounting, Audit, Taxation, Tally, Excel, GST, Financial Reporting, Compliance, MCA Filings, Direct Tax. CA, AuditFirm LLP (2019-present): Conducted statutory audits for 30+ SMEs, filed 200+ GST returns, handled direct tax assessments. Articleship, FinancePartners (2017-2019): Assisted audit and compliance. Education: CA Final, ICAI.","Senior Financial Analyst at a multinational technology company. Required skills: financial modeling, FP&A, budgeting, SQL, Excel, Tableau, forecasting, business partnering, IFRS. Responsibilities: build financial models for new market entry, lead quarterly forecasting, partner with regional business heads, automate reporting workflows, present to CFO. Preferred: Big 4 experience, exposure to IFRS.",0.5,medium,medium,65,50
"Clinical nurse with 6 years of experience in ICU and emergency care settings. Strong patient care and documentation skills. Skills: Patient Care, ICU Management, Medication Administration, Emergency Care, EHR, Team Coordination, Triage, CPR, Patient Education, Medical Documentation. Nurse, CityHospital (2019-present): Managed 10-bed ICU, reduced medication errors by 20%, trained 5 junior nurses. Staff Nurse, RegionalClinic (2018-2019): Provided care in general ward. Education: B.Sc Nursing, AIIMS Bhopal.","Healthcare Data Analyst at a hospital chain. Required skills: SQL, Python, Tableau, EHR systems, healthcare analytics, data cleaning, statistics. Responsibilities: analyze clinical outcomes data, build performance dashboards, support quality accreditation processes, collaborate with clinical leadership. Preferred: clinical background considered a plus, HL7 or FHIR exposure helpful.",0.58,medium,medium,66,46
"Junior software developer with 1.5 years of experience in web development using Python and Flask. Enthusiastic about backend systems and APIs. Skills: Python, Flask, MySQL, REST APIs, Git, HTML, CSS, Postman, Linux, Unit Testing. Developer, WebStartup (2023-present): Built 3 internal tools using Flask, wrote unit tests and API documentation. Intern, CodeBase (2022-2023): Developed CRUD APIs. Education: B.Tech CS, SRM University.","Backend Engineer at a mid-size fintech company. Required skills: Python, Django, PostgreSQL, Redis, Celery, Docker, AWS, REST APIs, microservices. Responsibilities: develop and maintain APIs, optimize database queries, integrate payment gateways, participate in system design, ensure code quality. Preferred: 3+ years experience, prior fintech or payments exposure.",0.6,medium,medium,60,46
"UX researcher with 4 years of experience conducting qualitative and quantitative research for product teams. Strong communicator who turns research into design recommendations. Skills: UX Research, Usability Testing, User Interviews, Survey Design, Figma, Affinity Mapping, Analytics, Persona Development, A/B Testing, Data Analysis. Researcher, ResearchLab (2021-present): Led 20+ usability studies, created research repository adopted by 3 product teams. UX Intern, DesignFirst (2020-2021): Conducted user interviews and synthesized insights. Education: M.Des HCI, IDC IIT Bombay.","UI/UX Designer at a product startup. Required skills: Figma, UI design, prototyping, design systems, interaction design, usability testing, user research. Responsibilities: design user interfaces, build and maintain design system, create prototypes, collaborate with PMs and engineers, conduct usability tests. Preferred: experience with mobile-first design, visual design portfolio.",0.62,medium,medium,73,47
"Inside sales executive with 3 years of experience in lead generation and SMB sales for SaaS products. Strong phone and email prospecting skills. Skills: Inside Sales, Cold Calling, CRM, Salesforce, Email Outreach, Lead Generation, Objection Handling, Demo Delivery, Pipeline Management, Negotiation. Executive, QuickSell (2022-present): Converted 22% of demos to paid, exceeded quota by 15% consistently. Intern, SellPro (2021-2022): Managed inbound leads. Education: BBA, Pune University.","Enterprise Sales Manager at a Series C cloud infrastructure company. Required skills: enterprise sales, SaaS, Salesforce, team leadership, strategic account management, large deal closing, executive relationship building, revenue forecasting. Responsibilities: manage $10M+ territory, lead team of 6 AEs, close 6-7 figure deals, present to C-suite buyers, collaborate with presales and customer success. Preferred: 8+ years sales experience, cloud or infrastructure background.",0.48,medium,medium,65,61
"Yoga instructor with 8 years of experience teaching Hatha and Vinyasa yoga at wellness studios. Certified by Yoga Alliance with specialization in mindfulness and stress relief. Skills: Yoga Instruction, Mindfulness, Breathing Techniques, Fitness, Anatomy, Class Management, Client Relations, Wellness Coaching. Instructor, ZenStudio (2018-present): Ran 15+ weekly classes for 200 students. Freelance Instructor (2016-2018): Taught corporate wellness sessions. Education: B.Sc Physical Education, Lakshmibai College.","Software Engineer at an early-stage startup. Required skills: Python, FastAPI, PostgreSQL, Docker, AWS, REST APIs, system design. Responsibilities: build backend services, design APIs, manage deployments, participate in code reviews, collaborate with frontend team. Preferred: experience with event-driven architectures, prior startup exposure.",0.06,low,low,63,41
"Mechanical engineer with 10 years of experience in automotive design and manufacturing processes. Expert in CAD modeling and production optimization. Skills: SolidWorks, AutoCAD, Manufacturing Processes, Quality Control, FMEA, Project Management, Six Sigma, GD&T, Vendor Management, Root Cause Analysis. Senior Engineer, AutoMake (2016-present): Reduced production defects by 40%, led supplier qualification for 20 components. Engineer, DriveTech (2014-2016): Designed chassis components. Education: B.Tech Mechanical, NIT Trichy.","Data Scientist at a retail analytics company. Required skills: Python, machine learning, SQL, scikit-learn, TensorFlow, A/B testing, feature engineering, statistics. Responsibilities: build customer segmentation models, design recommendation systems, run experiments, present insights, collaborate with engineering. Preferred: retail domain experience, experience with large datasets.",0.08,low,low,64,43
"Primary school teacher with 12 years of experience in elementary education and curriculum design. Passionate about child development and inclusive learning. Skills: Curriculum Design, Classroom Management, Child Development, Communication, Lesson Planning, Assessment, Parent Engagement, Special Needs Education, Digital Tools, Team Collaboration. Teacher, GreenvalleySchool (2014-present): Improved student literacy scores by 25%, designed new math curriculum for Grades 1-4. Teacher, BrightMinds (2012-2014): Taught English and Science. Education: B.Ed, Delhi University.","Product Manager at a B2B SaaS company. Required skills: product strategy, agile, SQL, analytics, stakeholder management, roadmapping, user research, OKRs. Responsibilities: define product vision, work with engineering and design, analyze data to prioritize features, manage cross-functional stakeholders, report to CPO. Preferred: 4+ years in product management, SaaS background.",0.1,low,low,68,48
"Travel blogger and content creator with 4 years of experience producing travel content across Instagram, YouTube, and personal blog. Skilled in storytelling and audience engagement. Skills: Content Creation, Travel Writing, Photography, Video Editing, Instagram, YouTube, SEO Blogging, Audience Growth, Sponsorship Management, Adobe Premiere. Creator, TravelWithMe (2021-present): Built 250K Instagram following, partnered with 15+ travel brands. Freelance Writer (2020-2021): Contributed to travel magazines. Education: BA Journalism, Symbiosis.","Cybersecurity Engineer at a financial services firm. Required skills: penetration testing, network security, Python, SIEM, vulnerability management, incident response, cloud security, firewalls. Responsibilities: conduct red team exercises, manage vulnerability program, respond to incidents, audit infrastructure, train employees. Preferred: CEH or OSCP certification, AWS security experience.",0.05,low,low,66,45
"Landscape architect with 9 years of experience in urban planning and green space design. Strong portfolio in residential and commercial projects. Skills: Landscape Design, AutoCAD, SketchUp, Urban Planning, Project Management, Site Analysis, Irrigation Systems, Client Relations, GIS, Sustainability. Principal, GreenSpace Studio (2018-present): Designed 30+ urban parks and rooftop gardens. Associate, UrbanForm (2015-2018): Supported large-scale public space projects. Education: B.Arch Landscape, CEPT University.","HR Manager at a tech startup. Required skills: talent acquisition, payroll, performance management, HRMS, employee relations, compensation, HR strategy, compliance. Responsibilities: manage end-to-end hiring, run performance reviews, oversee payroll, handle employee grievances, drive culture initiatives. Preferred: experience in tech industry, familiarity with Darwinbox or Keka.",0.07,low,low,62,45
"Event manager with 7 years of experience planning large-scale corporate events and exhibitions. Expert in vendor coordination and on-site logistics. Skills: Event Planning, Vendor Management, Budgeting, Logistics, Client Management, Sponsorship, Team Coordination, Marketing, AV Setup, Post-Event Reporting. Manager, EventPro (2018-present): Managed 50+ events with budgets up to $500K, led team of 8. Executive, Celebrations Co (2017-2018): Coordinated weddings and corporate dinners. Education: MBA Events Management, EMDI Mumbai.","Senior DevOps Engineer at a cloud-native company. Required skills: AWS, Kubernetes, Terraform, Docker, CI/CD, monitoring, Python, infrastructure as code, security best practices. Responsibilities: build and maintain cloud infrastructure, automate release pipelines, ensure system reliability, manage incident response, guide engineering teams on DevOps best practices. Preferred: AWS certifications, SRE experience.",0.06,low,low,67,49
"Pharmacist with 6 years of experience in clinical pharmacy and drug dispensing at hospitals. Deep knowledge of pharmacology and patient counseling. Skills: Pharmacology, Drug Dispensing, Patient Counseling, Medication Review, Clinical Pharmacy, Prescription Analysis, Drug Interaction Checking, Inventory Management, NABH Guidelines, Communication. Pharmacist, ApolloHospital (2019-present): Managed drug inventory for 500-bed hospital, reduced dispensing errors by 30%. Junior Pharmacist, CityMedical (2018-2019): Handled outpatient pharmacy. Education: B.Pharm, JSS University.","Business Analyst at a retail e-commerce company. Required skills: business analysis, SQL, Excel, Tableau, requirements gathering, process mapping, Agile, stakeholder management. Responsibilities: analyze business processes, gather and document requirements, create dashboards, liaise between IT and business teams, support project delivery. Preferred: retail or e-commerce domain experience.",0.11,low,low,66,46
"Social worker with 5 years of experience in community development and NGO program management. Dedicated to improving lives of underserved communities. Skills: Community Development, Program Management, Counseling, Grant Writing, Stakeholder Engagement, Volunteer Management, Fundraising, Reporting, Communication, Field Surveys. Program Officer, HopeNGO (2020-present): Managed livelihood program for 2000 beneficiaries, secured $300K in grants. Field Worker, CareIndia (2019-2020): Conducted health camps. Education: MSW, Tata Institute of Social Sciences.","Sales Manager at a B2B SaaS company. Required skills: SaaS sales, CRM, pipeline management, team leadership, revenue forecasting, negotiation, enterprise account management. Responsibilities: lead inside and field sales team, hit quarterly revenue targets, develop key accounts, coach AEs, report to VP Sales. Preferred: 6+ years of sales experience, tech or SaaS background.",0.09,low,low,66,52
"Classical musician and music teacher with 15 years of experience performing and teaching Carnatic music. Expert in vocal training and music theory. Skills: Carnatic Music, Vocal Training, Music Theory, Performance, Composition, Student Assessment, Stage Management, Riyaz Techniques, Event Performance, Music Production. Teacher, RaagaAcademy (2015-present): Trained 100+ students, performed at 50+ stage events. Musician, Classical Ensemble (2009-2015): Performed at national festivals. Education: M.Music, Chennai Music College.","UI/UX Designer at a fintech company. Required skills: Figma, Sketch, prototyping, interaction design, design systems, usability testing, user research, mobile design. Responsibilities: design user interfaces for web and mobile, maintain design system, create interactive prototypes, conduct user research, present designs to stakeholders. Preferred: fintech product design experience.",0.06,low,low,65,47
"Professional athlete and fitness coach with 8 years of experience in competitive athletics and sports coaching. Strong background in physical training and team motivation. Skills: Athletic Training, Fitness Coaching, Injury Prevention, Nutrition, Performance Analysis, Team Leadership, Sports Psychology, Strength Conditioning, Goal Setting, Communication. Coach, AthleticClub (2018-present): Trained 20+ athletes, improved team performance metrics by 35%. Athlete, StateTeam (2015-2018): Competed at national level. Education: B.Sc Sports Science, LNIPE Gwalior.","Finance Manager at a private equity firm. Required skills: financial modeling, valuation, LBO analysis, Excel, Bloomberg, investment analysis, portfolio management, due diligence, PowerPoint. Responsibilities: conduct company valuations, build LBO models, support deal execution, prepare investment committee memos, manage portfolio reporting. Preferred: CA or CFA, prior PE or investment banking experience.",0.07,low,low,68,50
"Machine learning engineer with 5 years of experience deploying ML models in production for recommendation and search systems. Strong in MLOps and model optimization. Skills: Python, TensorFlow, PyTorch, Scikit-learn, MLflow, Docker, Kubernetes, SQL, Spark, Feature Stores. ML Engineer, SearchTech (2021-present): Deployed ranking model improving CTR by 18%, reduced model inference latency by 40%, built feature pipeline for 50M users. Junior ML Engineer, RecommendAI (2019-2021): Trained collaborative filtering models. Education: M.Tech CS, IIT Madras.","Machine Learning Engineer at a large-scale recommendation platform. Required skills: Python, PyTorch or TensorFlow, MLflow, Kubernetes, Docker, SQL, feature engineering, model serving. Responsibilities: build and deploy ML models at scale, maintain ML pipelines, collaborate with data scientists, optimize model performance, monitor model drift. Preferred: experience with recommendation systems, Spark or Flink background.",0.93,high,high,73,52
"Cloud architect with 11 years of experience designing and migrating enterprise workloads to AWS. Deep expertise in multi-account architecture and cloud governance. Skills: AWS, Terraform, CloudFormation, Networking, IAM, Security Architecture, Cost Optimization, Kubernetes, CI/CD, Well-Architected Framework. Architect, CloudFirst (2017-present): Led $10M cloud migration, reduced AWS costs by 35%, designed landing zone for 50+ accounts. Senior Engineer, SkyInfra (2013-2017): Built VPC networking and security configurations. Education: B.Tech Electronics, IIT Roorkee.","Principal Cloud Architect at a Fortune 500 retail company. Required skills: AWS, Terraform, cloud architecture, networking, IAM, security, cost optimization, multi-account governance. Responsibilities: design cloud strategy, lead architectural reviews, mentor engineers, ensure compliance and security, collaborate with CISO and infrastructure teams. Preferred: AWS Solutions Architect Professional certification, FinOps experience.",0.94,high,high,69,49
"Growth product manager with 5 years of experience leading user acquisition and activation for consumer apps. Data obsessed with a strong experimentation mindset. Skills: Growth Hacking, A/B Testing, SQL, Mixpanel, Amplitude, User Funnel Analysis, Roadmapping, Agile, Retention Strategy, Cohort Analysis. PM Growth, QuickApp (2021-present): Improved D7 retention from 28% to 41%, ran 60+ experiments, grew MAU by 3x. APM, GrowthOS (2019-2021): Supported funnel optimization. Education: B.Tech Electrical, IIT Guwahati.","Growth Product Manager at an early-stage consumer fintech startup. Required skills: product management, A/B testing, SQL, Amplitude or Mixpanel, retention strategy, funnel analysis, agile. Responsibilities: own growth metrics, design and run experiments, optimize onboarding, collaborate with marketing and engineering, define OKRs. Preferred: experience in fintech or payments apps.",0.9,high,high,69,48
"Senior data scientist with 8 years of experience in NLP and conversational AI. Led teams building chatbots and language models for enterprise clients. Skills: Python, NLP, Transformers, HuggingFace, PyTorch, SQL, MLflow, Spacy, Text Classification, Named Entity Recognition. Lead Data Scientist, LangAI (2019-present): Built intent classification system with 94% accuracy for 100+ intents, led team of 5, deployed on-premise LLM solutions. Data Scientist, ChatBase (2016-2019): Developed dialogue management systems. Education: M.Tech AI, IIT Hyderabad.","Senior Data Scientist – NLP at a SaaS product company. Required skills: Python, NLP, Transformers, HuggingFace, PyTorch, text classification, named entity recognition, model deployment. Responsibilities: build and deploy NLP models, improve conversational AI pipelines, collaborate with product team, write technical documentation, mentor junior data scientists. Preferred: experience with LLMs and prompt engineering.",0.93,high,high,73,52
"Brand manager with 7 years of experience in FMCG brand strategy and new product launches. Strong in consumer insights and P&L management. Skills: Brand Strategy, P&L Management, Consumer Research, Campaign Management, ATL/BTL Marketing, Agency Management, Pricing Strategy, Trade Marketing, Innovation, Cross-functional Leadership. Brand Manager, FastGoods (2019-present): Launched 3 new SKUs with combined revenue of $8M, managed $5M marketing budget, grew brand share by 4 points. Assistant Brand Manager, ConsumerCo (2017-2019): Supported product portfolio management. Education: MBA Marketing, IIM Calcutta.","Brand Manager at a leading FMCG company. Required skills: brand strategy, P&L management, consumer insights, campaign management, innovation, agency management, ATL/BTL, cross-functional collaboration. Responsibilities: develop brand strategy, manage product portfolio, oversee marketing campaigns, drive innovation pipeline, lead cross-functional team. Preferred: FMCG experience preferred, exposure to digital marketing a plus.",0.91,high,high,79,49
"Android developer with 6 years of experience building consumer-facing apps with millions of downloads. Expert in Jetpack Compose and Kotlin. Skills: Kotlin, Android SDK, Jetpack Compose, MVVM, Retrofit, Room Database, Firebase, Unit Testing, CI/CD, Play Store Deployment. Senior Developer, AppFactory (2020-present): Shipped 3 apps with 5M+ combined installs, reduced crash rate to below 0.1%, built offline-first architecture. Android Dev, MobileWorks (2018-2020): Built features for fintech app. Education: B.Tech CS, NIT Warangal.","Senior Android Developer at a consumer health app company. Required skills: Kotlin, Android SDK, Jetpack Compose, MVVM, Retrofit, Room, Firebase, CI/CD, unit testing. Responsibilities: develop and maintain Android app, collaborate with design and backend teams, optimize performance, write clean code, participate in architecture decisions. Preferred: experience with health or wearables, exposure to Bluetooth LE.",0.92,high,high,71,54
"Operations manager with 9 years of experience in supply chain and logistics operations for e-commerce. Expert in warehouse management and last-mile delivery. Skills: Supply Chain Management, Warehouse Operations, Logistics, Vendor Management, ERP, Process Improvement, Team Leadership, KPIs, Cost Reduction, Procurement. Operations Manager, QuickShip (2017-present): Reduced delivery TAT by 25%, managed 500-person warehouse team, saved $2M through vendor renegotiation. Executive, LogisticsCo (2015-2017): Supervised inbound operations. Education: MBA Operations, IIM Lucknow.","Operations Manager at a fast-growing e-commerce company. Required skills: supply chain, logistics, warehouse management, vendor management, ERP, process improvement, team leadership, cost optimization. Responsibilities: oversee end-to-end fulfillment operations, manage 3PL relationships, drive SLA compliance, lead large teams, report to VP Operations. Preferred: e-commerce background, familiarity with WMS tools.",0.93,high,high,69,48
